clarity,cut,color,carat,x,price
SI1,Premium,H,0.8,5.97,2760
SI1,Very Good,D,0.75,5.8,2760
SI1,Premium,E,0.75,6.0,2760
SI1,Ideal,G,0.74,5.8,2760
VS2,Premium,G,0.75,5.85,2760
VS1,Ideal,I,0.8,5.94,2760
SI1,Ideal,G,0.75,5.87,2760
VVS2,Ideal,I,0.74,5.77,2761
SI2,Ideal,F,0.81,6.14,2761
VVS2,Ideal,E,0.59,5.38,2761
SI2,Ideal,F,0.8,5.96,2761
VS2,Premium,I,0.9,6.16,2761
SI1,Very Good,G,0.74,5.73,2762
VS2,Ideal,F,0.73,5.77,2762
SI2,Premium,F,0.8,5.98,2762
VS2,Ideal,E,0.7,5.73,2762
SI2,Ideal,F,0.8,6.01,2762
SI2,Ideal,D,0.71,5.73,2762
SI1,Ideal,E,0.74,5.8,2762
VS2,Fair,F,0.7,5.57,2762
VS2,Fair,F,0.7,5.63,2762
VS2,Premium,F,0.7,5.65,2762
SI1,Premium,H,0.91,6.09,2763
VVS2,Very Good,D,0.61,5.56,2763
SI2,Fair,H,0.91,6.11,2763
SI2,Fair,H,0.91,6.03,2763
VS2,Ideal,H,0.77,5.89,2763
SI1,Very Good,D,0.71,5.64,2764
SI1,Ideal,D,0.71,5.69,2764
VS2,Very Good,E,0.7,5.62,2765
VS1,Very Good,H,0.77,5.88,2765
VVS1,Premium,E,0.63,5.52,2765
VS1,Very Good,F,0.71,5.74,2765
VS1,Premium,F,0.71,5.69,2765
SI1,Ideal,H,0.76,5.88,2765
VVS1,Ideal,G,0.64,5.53,2766
VS2,Premium,G,0.71,5.78,2766
VS2,Premium,G,0.71,5.89,2766
VS2,Very Good,D,0.7,5.68,2767
VS1,Very Good,F,0.7,5.8,2767
SI2,Ideal,D,0.71,5.74,2767
VVS2,Good,H,0.7,5.62,2767
SI1,Very Good,D,0.73,5.83,2768
SI1,Very Good,D,0.7,5.66,2768
SI2,Premium,D,0.71,5.71,2768
SI1,Ideal,I,0.74,5.82,2769
VS2,Premium,D,0.71,5.65,2770
VS2,Premium,G,0.73,5.83,2770
SI1,Very Good,F,0.76,5.79,2770
SI2,Ideal,D,0.76,5.78,2770
SI1,Ideal,F,0.71,5.77,2770
VS2,Premium,G,0.73,5.87,2770
VS1,Premium,G,0.73,5.79,2770
SI2,Ideal,D,0.73,5.92,2770
VS2,Premium,G,0.73,5.92,2770
SI1,Very Good,F,0.73,5.79,2771
VS2,Ideal,G,0.71,5.73,2771
SI2,Ideal,F,0.79,5.97,2771
VVS1,Very Good,H,0.73,5.83,2772
SI2,Very Good,F,0.8,6.01,2772
VVS1,Ideal,G,0.58,5.39,2772
VVS1,Ideal,F,0.58,5.33,2772
VS2,Good,E,0.71,5.8,2772
SI2,Ideal,D,0.75,5.85,2773
VS2,Premium,D,0.7,5.87,2773
I1,Very Good,J,1.17,6.83,2774
VS1,Ideal,E,0.6,5.41,2774
SI1,Ideal,E,0.7,5.68,2774
VS2,Good,I,0.83,5.85,2774
VS2,Very Good,F,0.74,5.8,2775
VS2,Very Good,G,0.72,5.62,2776
VS2,Premium,E,0.71,5.74,2776
VS2,Ideal,E,0.71,5.79,2776
VVS2,Ideal,E,0.54,5.25,2776
VVS2,Ideal,E,0.54,5.24,2776
SI1,Ideal,G,0.72,5.72,2776
SI1,Ideal,G,0.72,5.79,2776
SI1,Ideal,G,0.71,5.8,2776
VS1,Very Good,D,0.7,5.66,2777
VS2,Premium,F,0.71,5.67,2777
VS2,Very Good,F,0.71,5.64,2777
VS2,Good,F,0.71,5.61,2777
VS2,Good,F,0.71,5.87,2777
VS2,Ideal,E,0.7,5.7,2777
VS2,Premium,E,0.7,5.71,2777
SI1,Premium,E,0.7,5.79,2777
SI1,Premium,E,0.7,5.73,2777
SI1,Premium,E,0.7,5.67,2777
SI1,Premium,E,0.7,5.73,2777
SI1,Premium,E,0.7,5.78,2777
SI1,Ideal,E,0.7,5.76,2777
SI1,Premium,F,0.72,5.82,2777
SI1,Very Good,E,0.7,5.76,2777
SI1,Premium,E,0.7,5.71,2777
SI1,Premium,E,0.7,5.77,2777
VS2,Good,E,0.7,5.64,2777
SI2,Fair,H,0.98,6.05,2777
SI1,Premium,F,0.78,5.83,2777
SI1,Very Good,E,0.7,5.6,2777
VVS1,Ideal,F,0.52,5.19,2778
VS2,Very Good,H,0.73,5.82,2779
SI1,Ideal,E,0.74,5.84,2779
VS2,Very Good,F,0.7,5.61,2780
VS2,Premium,G,0.77,5.9,2780
VS2,Ideal,F,0.71,5.68,2780
VS1,Ideal,G,0.74,5.81,2780
VS1,Ideal,G,0.7,5.64,2780
I1,Premium,F,1.01,6.39,2781
SI1,Ideal,H,0.77,5.83,2781
SI1,Ideal,H,0.78,5.92,2781
VS1,Very Good,H,0.72,5.83,2782
VVS2,Very Good,D,0.53,5.34,2782
VS2,Ideal,G,0.76,5.9,2782
VS1,Good,E,0.7,5.81,2782
VS1,Premium,E,0.7,5.62,2782
SI2,Very Good,D,0.75,5.78,2782
SI1,Ideal,D,0.72,5.76,2782
SI1,Premium,D,0.72,5.73,2782
SI1,Premium,D,0.7,5.68,2782
SI1,Premium,F,0.75,5.88,2782
IF,Ideal,F,0.52,5.14,2783
VS2,Very Good,F,0.72,5.69,2784
VS1,Very Good,H,0.79,5.85,2784
VS2,Very Good,F,0.72,5.66,2787
VVS1,Ideal,F,0.51,5.11,2787
VS1,Ideal,D,0.64,5.54,2787
VS1,Very Good,I,0.83,6.07,2788
VVS2,Ideal,I,0.76,5.85,2788
VS2,Good,D,0.71,5.64,2788
VS1,Good,G,0.77,5.97,2788
SI1,Ideal,F,0.71,5.71,2788
I1,Fair,E,1.01,6.29,2788
SI2,Premium,H,1.01,6.31,2788
SI1,Good,F,0.77,5.81,2789
SI1,Good,E,0.76,5.76,2789
SI1,Premium,E,0.76,5.92,2789
SI1,Premium,E,0.76,5.82,2789
SI2,Very Good,J,1.05,6.49,2789
SI2,Ideal,G,0.81,5.97,2789
SI1,Ideal,E,0.7,5.72,2789
IF,Ideal,G,0.55,5.28,2789
SI2,Good,G,0.81,5.94,2789
VVS2,Premium,E,0.63,5.48,2789
VVS1,Premium,E,0.63,5.55,2789
VS1,Premium,H,0.77,5.9,2789
SI2,Fair,J,1.05,6.41,2789
IF,Ideal,G,0.64,5.54,2790
VVS1,Premium,I,0.76,6.0,2790
SI2,Ideal,F,0.83,6.02,2790
VS1,Premium,F,0.71,5.77,2790
VS1,Premium,F,0.71,5.73,2790
SI1,Very Good,I,0.87,6.07,2791
SI1,Ideal,E,0.73,5.74,2791
SI1,Premium,E,0.71,5.83,2792
SI1,Premium,E,0.71,5.7,2792
SI1,Ideal,E,0.71,5.72,2792
VS1,Premium,F,0.7,5.71,2792
VS1,Premium,F,0.7,5.78,2792
VVS2,Premium,H,0.76,5.91,2792
VS1,Ideal,F,0.7,5.73,2792
SI1,Very Good,G,0.79,5.98,2793
VS2,Very Good,E,0.7,5.66,2793
VS2,Good,E,0.7,5.6,2793
VS2,Ideal,I,0.76,5.87,2793
VS2,Ideal,H,0.73,5.72,2793
SI1,Very Good,E,0.79,5.91,2794
VS2,Very Good,E,0.71,5.81,2795
VVS2,Premium,I,0.81,5.91,2795
SI2,Ideal,F,0.81,5.92,2795
VS1,Good,F,0.72,5.74,2795
SI2,Premium,D,0.72,5.73,2795
IF,Premium,I,0.72,5.72,2795
VS2,Premium,H,0.81,6.17,2795
VS2,Premium,G,0.72,5.73,2795
SI2,Premium,I,1.0,6.61,2795
SI1,Good,E,0.73,5.7,2796
SI1,Very Good,E,0.81,6.07,2797
SI1,Premium,D,0.71,5.67,2797
SI1,Premium,D,0.71,5.73,2797
SI1,Premium,D,0.71,5.74,2797
VVS2,Ideal,F,0.57,5.34,2797
VVS1,Ideal,D,0.51,5.12,2797
VS2,Ideal,G,0.72,5.72,2797
VS1,Ideal,H,0.74,5.77,2797
VS1,Ideal,H,0.74,5.81,2797
VVS1,Fair,G,0.7,5.81,2797
SI2,Premium,F,0.8,6.03,2797
SI2,Fair,E,1.01,6.19,2797
VS2,Very Good,H,0.8,5.92,2797
VS1,Ideal,I,0.77,5.87,2798
SI2,Very Good,E,0.83,6.19,2799
SI2,Ideal,F,0.82,5.97,2799
SI1,Ideal,D,0.78,5.91,2799
IF,Very Good,G,0.6,5.43,2800
SI2,Good,I,0.9,6.07,2800
VS1,Premium,E,0.7,5.6,2800
SI2,Very Good,I,0.9,6.17,2800
SI1,Ideal,G,0.83,5.99,2800
SI1,Ideal,G,0.83,6.03,2800
SI1,Very Good,H,0.83,5.95,2800
VS1,Premium,G,0.74,5.74,2800
VS1,Ideal,I,0.79,5.92,2800
IF,Ideal,G,0.61,5.43,2800
VS1,Fair,G,0.76,5.89,2800
I1,Ideal,F,0.96,6.37,2801
VS2,Ideal,F,0.73,5.8,2801
VS2,Premium,F,0.73,5.76,2801
SI1,Ideal,H,0.75,5.93,2801
VS2,Premium,F,0.71,5.7,2801
VS2,Good,F,0.71,5.9,2801
VS2,Good,F,0.71,5.64,2801
VS2,Premium,F,0.71,5.69,2801
I1,Premium,G,1.04,6.46,2801
SI2,Premium,J,1.0,6.45,2801
SI2,Very Good,G,0.87,6.19,2802
IF,Ideal,F,0.53,5.22,2802
VS2,Premium,E,0.72,5.79,2802
VS1,Premium,F,0.72,5.83,2802
VS2,Very Good,F,0.7,5.63,2803
SI1,Very Good,E,0.74,5.74,2803
VS2,Ideal,G,0.71,5.75,2803
SI1,Ideal,E,0.73,5.84,2803
VS1,Good,G,0.7,5.56,2803
VS2,Premium,F,0.71,5.7,2803
VS2,Premium,F,0.71,5.85,2803
VS1,Premium,G,0.71,5.7,2803
VS2,Premium,G,0.77,5.93,2803
VS2,Premium,G,0.71,5.81,2803
VS2,Premium,G,0.78,6.03,2803
VS1,Very Good,G,0.71,5.66,2803
SI2,Ideal,D,0.91,6.21,2803
VS2,Very Good,E,0.71,5.62,2804
VS2,Very Good,E,0.71,5.66,2804
SI2,Very Good,E,0.8,5.88,2804
SI1,Very Good,D,0.7,5.69,2804
VS1,Ideal,F,0.72,5.74,2804
VS1,Very Good,F,0.72,5.75,2804
VS2,Ideal,H,0.82,6.01,2804
SI1,Ideal,D,0.7,5.68,2804
SI1,Ideal,D,0.72,5.74,2804
SI1,Ideal,D,0.72,5.77,2804
SI1,Fair,I,0.9,5.93,2804
VS2,Premium,F,0.74,5.85,2805
VS2,Premium,F,0.74,5.8,2805
SI2,Ideal,E,0.73,5.77,2805
VVS1,Fair,E,0.57,5.34,2805
VS2,Premium,F,0.73,5.75,2805
VS2,Ideal,G,0.72,5.74,2805
VS2,Fair,F,0.74,5.82,2805
VS2,Good,G,0.82,5.92,2805
SI1,Very Good,G,0.81,5.89,2806
VVS1,Very Good,H,0.75,5.85,2806
SI1,Ideal,F,0.7,5.72,2806
VS1,Very Good,F,0.71,5.66,2807
VS1,Very Good,F,0.71,5.84,2807
SI2,Premium,J,0.93,6.21,2807
VS2,Very Good,H,0.8,5.87,2808
VS1,Very Good,F,0.7,5.64,2808
I1,Fair,G,1.0,6.16,2808
VS2,Very Good,G,0.75,5.78,2808
VVS2,Ideal,E,0.58,5.41,2808
SI1,Very Good,D,0.73,5.74,2808
SI1,Very Good,F,0.81,5.85,2809
SI2,Premium,D,0.81,6.15,2809
SI1,Premium,F,0.71,5.84,2809
I1,Fair,F,1.2,6.73,2809
VS1,Very Good,F,0.7,5.63,2810
VS1,Very Good,F,0.7,5.77,2810
SI2,Ideal,D,0.74,5.81,2810
VS1,Good,F,0.7,5.57,2810
SI1,Good,G,0.8,5.84,2810
SI1,Very Good,F,0.75,5.72,2811
SI1,Very Good,D,0.83,5.98,2811
VS2,Fair,J,1.0,6.14,2811
SI2,Fair,I,0.99,6.21,2811
VS1,Very Good,G,0.7,5.57,2812
VS2,Very Good,F,0.7,5.75,2812
SI1,Good,E,0.7,5.49,2812
VS2,Very Good,F,0.7,5.63,2812
SI1,Premium,I,0.32,4.37,554
SI1,Premium,I,0.32,4.39,554
SI1,Ideal,I,0.32,4.37,554
SI1,Premium,I,0.32,4.39,554
SI1,Very Good,I,0.32,4.39,554
SI1,Ideal,I,0.32,4.47,554
SI1,Premium,H,0.3,4.31,554
SI1,Premium,H,0.3,4.41,554
SI1,Premium,H,0.3,4.28,554
SI1,Very Good,H,0.3,4.29,554
SI1,Good,H,0.3,4.26,554
SI1,Ideal,H,0.3,4.27,554
SI1,Very Good,H,0.3,4.25,554
SI1,Good,I,0.32,4.36,554
SI2,Ideal,H,0.33,4.85,554
VS1,Very Good,E,0.29,4.28,555
VS1,Very Good,E,0.29,4.2,555
SI1,Very Good,F,0.31,4.32,555
VS2,Ideal,H,0.34,4.47,555
VS2,Ideal,H,0.34,4.54,555
VS1,Ideal,I,0.34,4.48,555
VS1,Ideal,I,0.34,4.5,555
VS1,Ideal,G,0.3,4.29,555
VS1,Ideal,F,0.29,4.26,555
SI1,Ideal,G,0.35,4.56,555
I1,Very Good,E,0.43,4.94,555
VS2,Very Good,F,0.32,4.37,556
VS2,Ideal,I,0.36,4.54,556
VS2,Ideal,G,0.3,4.28,556
VS1,Ideal,E,0.26,4.09,556
VS2,Very Good,F,0.7,5.64,2812
VS2,Very Good,F,0.7,5.66,2812
SI1,Ideal,D,0.71,5.69,2812
SI1,Fair,J,0.99,6.72,2812
VS2,Premium,E,0.73,5.92,2812
VVS1,Ideal,F,0.51,5.15,2812
SI2,Premium,G,0.91,6.3,2813
SI1,Very Good,E,0.84,6.0,2813
VS2,Good,I,0.91,6.09,2813
SI1,Premium,E,0.76,5.86,2814
SI1,Ideal,E,0.76,5.88,2814
SI1,Premium,E,0.75,5.86,2814
VVS1,Very Good,D,0.55,5.23,2815
SI2,Very Good,F,0.76,5.93,2815
VS1,Premium,G,0.74,5.79,2815
SI1,Ideal,H,0.7,5.75,2815
SI1,Ideal,H,0.7,5.7,2815
SI1,Ideal,H,0.7,5.73,2815
SI1,Ideal,H,0.7,5.72,2815
VS2,Fair,J,0.9,6.08,2815
SI2,Fair,F,0.95,6.62,2815
SI2,Premium,H,0.89,6.26,2815
VS2,Premium,E,0.72,5.99,2815
SI2,Fair,E,0.96,6.73,2815
I1,Premium,G,1.02,6.55,2815
VVS2,Very Good,I,0.78,5.91,2816
VVS2,Ideal,G,0.61,5.52,2816
VS1,Good,D,0.71,5.61,2816
SI1,Premium,F,0.78,5.96,2816
SI2,Ideal,H,0.87,6.16,2816
SI1,Ideal,H,0.83,6.04,2816
SI1,Premium,E,0.71,5.78,2817
VVS2,Ideal,I,0.71,5.84,2817
VS2,Ideal,E,0.71,5.66,2817
VS2,Premium,E,0.71,5.69,2817
VVS2,Ideal,F,0.63,5.48,2817
SI1,Premium,E,0.71,5.86,2817
SI1,Premium,E,0.71,5.75,2817
SI1,Ideal,E,0.71,5.77,2817
SI1,Premium,E,0.71,5.77,2817
VS2,Ideal,J,0.9,6.2,2817
SI1,Good,E,0.71,5.6,2817
VS2,Premium,E,0.7,5.66,2818
VS2,Premium,E,0.7,5.78,2818
VS2,Premium,E,0.7,5.64,2818
I1,Premium,H,1.0,6.43,2818
SI2,Premium,F,0.86,6.36,2818
SI1,Ideal,H,0.8,6.07,2818
VS1,Ideal,E,0.7,5.66,2818
VS1,Premium,E,0.7,5.91,2818
VS2,Premium,F,0.7,5.69,2818
VS1,Premium,E,0.7,5.68,2818
SI2,Fair,H,1.0,6.34,2818
VS1,Very Good,G,0.72,5.64,2819
VS1,Ideal,H,0.72,5.73,2819
VS1,Good,F,0.7,5.76,2819
SI2,Good,F,0.86,5.97,2819
VS1,Ideal,G,0.71,5.66,2820
SI1,Ideal,E,0.75,5.8,2821
VS2,Premium,E,0.73,5.77,2821
VVS1,Ideal,E,0.53,5.2,2821
SI1,Premium,E,0.73,5.83,2821
SI1,Good,E,0.73,5.72,2821
SI1,Premium,E,0.73,5.92,2821
SI1,Premium,E,0.73,5.77,2821
SI1,Premium,D,0.73,5.84,2821
SI1,Very Good,E,0.73,5.76,2821
VS1,Premium,E,0.7,5.74,2822
VS2,Premium,E,0.72,5.84,2822
VS2,Premium,E,0.72,5.8,2822
VS2,Premium,E,0.72,5.77,2822
VS2,Premium,E,0.7,5.73,2822
VVS2,Ideal,F,0.6,5.37,2822
VVS1,Ideal,I,0.74,5.85,2822
SI1,Ideal,F,0.73,5.75,2822
SI1,Premium,D,0.71,5.71,2822
SI1,Premium,D,0.71,5.75,2822
SI1,Premium,D,0.7,5.82,2822
SI1,Ideal,D,0.7,5.75,2822
VS2,Good,J,0.9,6.04,2822
SI1,Ideal,D,0.71,5.86,2822
VS2,Premium,E,0.7,5.73,2822
VS2,Premium,E,0.7,5.71,2822
SI1,Ideal,D,0.7,5.82,2822
SI1,Good,E,0.7,5.71,2822
SI1,Ideal,D,0.7,5.62,2822
SI1,Ideal,D,0.7,5.73,2822
VS2,Premium,E,0.7,5.72,2822
VS2,Premium,F,0.7,5.8,2822
SI1,Ideal,D,0.7,5.75,2822
SI2,Very Good,D,0.79,5.86,2823
SI1,Good,I,0.9,6.06,2823
VS2,Premium,E,0.71,5.71,2823
VVS2,Ideal,E,0.61,5.51,2823
SI2,Fair,H,0.9,6.05,2823
SI1,Ideal,E,0.71,5.77,2823
VS2,Premium,D,0.71,5.74,2824
VVS2,Ideal,I,0.77,5.84,2824
VS1,Good,E,0.74,5.73,2824
SI2,Ideal,F,0.82,6.02,2824
SI2,Premium,E,0.82,6.05,2824
VS1,Premium,G,0.71,5.73,2825
SI1,Premium,H,0.83,6.08,2825
VS1,Very Good,G,0.73,5.75,2825
SI1,Premium,H,0.83,6.02,2825
I1,Premium,J,1.17,6.9,2825
SI2,Fair,H,0.91,6.24,2825
VS1,Premium,E,0.73,5.75,2826
VS1,Good,E,0.7,5.94,2826
SI2,Premium,I,0.9,6.11,2826
VS1,Premium,E,0.7,5.66,2826
VS2,Very Good,D,0.7,5.6,2826
VS1,Premium,E,0.7,5.78,2826
SI2,Very Good,I,0.9,6.17,2826
SI1,Premium,F,0.78,5.97,2826
I1,Ideal,F,0.96,6.41,2826
SI1,Very Good,D,0.7,5.67,2827
VS2,Good,D,0.72,5.68,2827
VVS2,Premium,H,0.79,5.96,2827
VVS1,Ideal,H,0.7,5.69,2827
VVS1,Ideal,H,0.7,5.66,2827
SI2,Ideal,D,0.7,5.74,2828
SI2,Premium,H,1.01,6.39,2828
VS1,Premium,F,0.72,5.75,2829
SI2,Good,E,0.8,5.91,2829
VVS1,Ideal,E,0.59,5.36,2829
VS1,Ideal,F,0.72,5.77,2829
SI2,Premium,E,0.75,5.88,2829
SI2,Premium,E,0.8,6.05,2829
VS2,Very Good,E,0.71,5.65,2830
SI1,Very Good,H,0.77,5.84,2830
I1,Ideal,F,0.97,6.41,2830
VVS1,Ideal,F,0.53,5.23,2830
VVS1,Ideal,F,0.53,5.16,2830
VS2,Ideal,I,0.8,5.94,2830
SI1,Premium,G,0.9,6.21,2830
SI2,Very Good,E,0.76,5.89,2831
SI1,Ideal,E,0.72,5.7,2831
SI1,Ideal,E,0.75,5.82,2831
SI1,Premium,E,0.72,5.73,2831
SI1,Ideal,G,0.79,5.93,2831
VS2,Very Good,F,0.72,5.71,2832
SI2,Very Good,I,0.91,6.15,2832
VVS2,Premium,G,0.71,5.75,2832
SI1,Premium,G,0.81,5.87,2832
SI1,Ideal,H,0.82,5.91,2832
VS1,Premium,F,0.71,5.72,2832
SI1,Good,J,0.9,6.05,2832
VS2,Very Good,I,0.8,5.86,2833
IF,Very Good,E,0.56,5.28,2833
VS2,Very Good,D,0.7,5.77,2833
VS2,Ideal,D,0.7,5.74,2833
VVS2,Ideal,F,0.61,5.45,2833
SI2,Ideal,H,0.85,6.02,2833
SI1,Ideal,F,0.7,5.73,2833
VS2,Ideal,G,0.8,5.94,2834
VS2,Ideal,H,0.8,5.91,2834
VVS1,Very Good,D,0.51,5.16,2834
VVS1,Ideal,F,0.53,5.2,2834
VS2,Ideal,I,0.78,5.92,2834
SI1,Very Good,J,0.9,6.17,2834
SI2,Fair,G,0.9,6.07,2834
SI2,Ideal,E,0.77,6.01,2834
VS1,Ideal,F,0.73,5.89,2835
VVS2,Ideal,F,0.63,5.47,2835
VS2,Ideal,E,0.7,5.7,2835
VS2,Ideal,E,0.72,5.71,2835
SI1,Ideal,E,0.72,5.78,2835
VS2,Premium,F,0.75,6.04,2835
SI1,Very Good,H,0.82,6.04,2836
VS2,Good,E,0.71,5.6,2836
VS1,Premium,E,0.7,5.69,2837
VS1,Ideal,E,0.7,5.74,2837
SI1,Ideal,F,0.71,5.86,2838
SI1,Very Good,H,0.76,5.92,2838
SI1,Fair,F,0.82,5.83,2838
VS1,Premium,F,0.72,5.91,2838
VS2,Premium,F,0.7,5.72,2838
VS2,Premium,F,0.7,5.69,2838
VS1,Premium,G,0.7,5.73,2838
VS2,Premium,F,0.7,5.83,2838
SI1,Very Good,E,0.7,5.53,2838
VS2,Premium,F,0.7,5.71,2838
VS2,Premium,F,0.7,5.85,2838
VS1,Premium,G,0.7,5.64,2838
SI1,Very Good,E,0.74,5.85,2839
VS1,Ideal,F,0.71,5.74,2839
VS1,Ideal,F,0.7,5.75,2839
VS1,Ideal,F,0.71,5.82,2839
VS1,Premium,F,0.71,5.84,2839
VS1,Premium,F,0.71,5.82,2839
VS1,Premium,F,0.71,5.75,2839
VS1,Ideal,F,0.7,5.73,2839
VS2,Ideal,G,0.73,5.8,2839
VS2,Ideal,E,0.7,5.69,2839
VS1,Ideal,G,0.7,5.71,2839
VVS2,Premium,G,0.71,5.82,2839
VS1,Premium,F,0.71,5.87,2839
VS2,Premium,G,0.79,6.09,2839
VS1,Premium,F,0.71,5.7,2839
VS1,Very Good,H,0.77,5.9,2840
SI2,Very Good,F,0.75,5.85,2840
SI1,Ideal,F,0.7,5.75,2840
VS2,Premium,F,0.71,5.88,2840
SI2,Ideal,D,0.92,6.27,2840
SI2,Premium,F,0.83,6.08,2840
VVS1,Premium,H,0.7,5.87,2840
VS2,Premium,F,0.73,5.9,2841
VS1,Very Good,D,0.71,5.69,2841
SI1,Very Good,D,0.73,5.66,2841
SI2,Ideal,F,0.82,6.0,2841
SI2,Ideal,F,0.82,5.96,2841
SI2,Very Good,F,0.82,6.12,2841
VVS1,Ideal,F,0.52,5.19,2841
I1,Premium,F,1.0,6.6,2841
SI1,Fair,G,0.95,6.16,2841
SI1,Ideal,D,0.73,5.76,2841
VS2,Premium,F,0.73,5.87,2841
VS1,Premium,G,0.73,5.82,2841
VS1,Ideal,I,0.8,5.92,2842
VS2,Premium,F,0.7,5.8,2842
VS2,Very Good,E,0.7,5.71,2843
VS2,Very Good,E,0.7,5.65,2843
VS2,Very Good,E,0.71,5.76,2843
SI2,Very Good,F,0.81,5.91,2843
SI1,Very Good,D,0.71,5.73,2843
VVS2,Ideal,G,0.73,5.81,2843
VS1,Very Good,F,0.73,5.73,2843
VS2,Ideal,E,0.72,5.71,2843
SI2,Ideal,F,0.81,5.91,2843
VVS2,Ideal,G,0.71,5.81,2843
SI1,Very Good,E,0.73,5.92,2844
VS1,Very Good,E,0.7,5.65,2844
I1,Ideal,I,1.01,6.45,2844
I1,Good,I,1.01,6.35,2844
VS2,Ideal,H,0.79,5.91,2844
VS2,Very Good,E,0.7,5.65,2845
VS2,Very Good,E,0.7,5.83,2845
VS2,Good,H,0.8,5.92,2845
SI2,Premium,H,1.27,7.12,2845
SI1,Ideal,D,0.79,5.96,2846
VS1,Very Good,F,0.72,5.79,2846
VVS2,Ideal,H,0.73,5.79,2846
SI2,Fair,H,1.01,6.3,2846
I1,Good,H,1.01,6.25,2846
SI1,Ideal,E,0.73,5.92,2846
SI1,Ideal,E,0.7,5.71,2846
VS2,Good,F,0.7,5.76,2846
SI1,Premium,E,0.77,5.84,2846
VS2,Premium,G,0.77,5.91,2846
VS1,Premium,G,0.77,5.94,2846
SI1,Very Good,H,0.84,6.1,2847
SI1,Ideal,E,0.72,5.83,2847
SI1,Premium,D,0.76,5.93,2847
